,koi_period,koi_duration,koi_prad,koi_teq,koi_steff,koi_slogg,koi_srad,label
2323,198.7112502,8.5374,2.86,236,5080,4.633,0.628,0
2324,51.8096695,7.543,3.25,413,5355,4.581,0.803,0
2348,61.4910471,9.508,4.41,323,4796,4.656,0.598,0
2351,105.9564148,6.986,3.81,322,5308,4.583,0.796,0
2358,60.0855082,6.929,2.19,492,6201,4.472,0.989,0
2360,58.4301004,6.896,3.43,300,4338,4.643,0.609,0
2362,88.6442364,7.968,2.5,389,5861,4.541,0.872,0
2363,116.331901,6.865,3.53,371,5733,4.432,0.997,0
2370,56.4349938,4.7029,2.09,444,5734,4.538,0.883,0
2374,105.3033148,6.12,3.54,394,6032,4.485,0.973,0
2380,92.7296775,6.348,2.15,267,4528,4.663,0.624,0
2383,71.3116583,8.781,5.18,473,6167,4.444,1.064,0
2389,82.5342519,4.8336,2.29,252,4237,4.696,0.558,0
2402,120.0181272,11.604,4.67,501,6749,4.22,1.484,0
2408,62.561528,5.857,3.53,419,5679,4.555,0.841,0
2415,59.7711437,4.4935,2.88,522,6214,4.382,1.122,0
2420,85.6535849,6.877,2.21,430,6092,4.471,0.998,0
2421,137.8645383,1.966,30.13,176,3763,4.785,0.457,0
2440,67.8450771,12.07,1.48,447,6003,4.507,0.932,0
2451,105.6551369,9.243,3.5,392,6060,4.495,0.953,0
2454,68.958608,3.0854,0.98,402,5460,4.498,0.893,0
2455,63.0381121,7.3269,2.73,493,6085,4.418,1.09,0
2472,96.9151496,5.9964,2.01,313,5229,4.636,0.701,0
2479,62.1387714,4.1578,2.78,426,5576,4.515,0.929,0
2484,66.4162133,6.965,3.77,376,5387,4.603,0.755,0
2513,125.602302,7.449,3.19,360,5774,4.447,0.958,0
2518,109.4449666,4.1532,3.21,328,5508,4.589,0.771,0
2526,122.8808058,8.281,2.91,336,5650,4.546,0.87,0
2532,148.4603382,5.402,3.27,293,5463,4.594,0.759,0
2536,201.1214,10.575,1.84,297,5804,4.498,0.845,0
2541,85.520888,8.295,1.72,430,6092,4.471,0.998,0
2554,56.1886887,6.089,1.79,468,5798,4.467,0.958,0
2562,86.7489289,9.152,2.11,406,5830,4.447,0.887,0
2575,110.96546,12.841,2.12,239,4441,4.695,0.546,0
2586,57.2486691,6.092,3.26,430,5646,4.549,0.841,0
2588,142.544247,8.949,2.95,317,5646,4.549,0.841,0
2602,73.7579317,2.7539,4.23,375,5029,4.429,0.93,0
2612,63.0736043,5.254,6.67,766,6628,3.835,2.403,0
2613,78.5461638,8.684,2.63,434,6032,4.485,0.973,0
2621,99.673478,0.968,576.14,262,4932,4.777,0.492,0
2623,75.3789791,6.632,2.12,359,5164,4.544,0.835,0
2645,80.2317349,4.578,3.44,397,5685,4.508,0.893,0
2646,147.973027,7.011,3.43,337,6008,4.537,0.875,0
2649,77.2548396,10.294,4.02,562,6549,4.21,1.438,0
2658,56.777229,6.538,3.12,491,6063,4.476,1.012,0
2659,219.3217528,12.358,6.43,313,6063,4.476,1.012,0
2662,161.5163345,6.456,2.74,203,4137,4.66,0.612,0
2664,83.4886218,6.485,3.39,411,5910,4.505,0.94,0
2679,57.6899118,5.005,5.15,507,6210,4.45,1.033,0
2681,77.085964,4.557,30.34,460,6210,4.45,1.033,0
2686,198.680179,8.287,2.51,288,5403,4.427,0.906,0
2689,58.6017925,5.543,2.15,508,6250,4.44,1.019,0
2691,89.722292,10.678,2.08,508,6429,4.241,1.262,0
2692,78.1000231,8.322,2.65,447,6153,4.471,0.993,0
2695,187.747029,5.408,3.12,267,5303,4.55,0.753,0
2701,81.3151059,5.762,2.22,370,5565,4.574,0.802,0
2702,51.3285623,9.439,3.13,546,6119,4.353,1.119,0
2728,69.8957158,4.901,1.84,387,5509,4.538,0.759,0
2731,55.1866695,9.022,2.24,561,6327,4.327,1.175,0
2755,59.9810586,7.026,1.99,549,6484,4.377,1.173,0
