koi_period,koi_duration,koi_prad,koi_teq,koi_steff,koi_slogg,koi_srad,label
1.811461897,8.4604,381.07,3438,8572,3.776,3.034,1
2.174990487,8.4032,208.7,2009,6792,4.143,1.636,1
2.79123123,2.75,2.06,1771,6407,4.111,1.668,1
0.53655406,6.176,11.65,2401,6164,4.446,1.045,1
0.512581563,2.57122,42.9,1543,4612,4.648,0.604,1
3.34454697,14.363,1.01,1559,5966,4.069,1.551,1
3.556513986,11.318,193.24,2352,8105,3.937,2.433,1
2.506027,21.34,50.95,1547,5780,4.178,1.296,1
2.249001445,9.1242,58,2127,6025,3.8,2.293,1
1.332596891,3.968,1.03,1702,6091,4.487,0.967,1
1.16683439,2.13867,552.37,3456,8982,4.111,2.123,1
1.340642252,5.24265,102.68,2006,6332,4.26,1.222,1
1.391714994,1.262,35.67,8352,3749,0.833,59.684,1
2.645596445,2.871,36.91,2490,5282,3.264,5.243,1
1.213747448,5.76869,105.53,2529,6782,4.076,1.751,1
2.037453464,5.43534,138.63,2221,6456,3.906,2.056,1
0.93372768,3.956,0.75,1804,5849,4.517,0.919,1
1.427977594,14.398,15.82,1638,6099,4.511,0.919,1
1.23135049,3.641,0.82,1649,5791,4.505,0.958,1
0.745090995,7.56,14.17,1656,5324,4.603,0.751,1
2.747042821,2.5924,983.94,2918,8237,3.753,3.134,1
3.21315744,28.1,177.12,1691,6722,4.181,1.477,1
0.699985994,3.01096,47.76,1654,5267,4.614,0.725,1
1.08070208,7.458,137.97,3347,7796,3.937,2.34,1
0.687739345,0.1866,1.53,2837,6823,4.212,1.493,1
1.036592181,2.3201,168.58,3614,5122,3.063,5.679,1
2.709570556,5.57018,217.65,2428,5030,3.18,5.208,1
0.855294936,2.90006,48.67,2136,5846,4.27,1.207,1
1.838514472,3.3003,57.95,1573,5799,4.326,1.055,1
1.946198663,4.03867,53.62,1852,6224,4.165,1.433,1
2.638432843,2.42166,33.45,1605,6493,4.299,1.178,1
1.570918734,3.2235,58.63,1799,6192,4.326,1.162,1
1.071911205,4.16336,42.51,1810,5885,4.413,0.933,1
3.60740275,13.1481,243.87,1847,7030,4.057,1.812,1
2.56576073,21.43,35,3643,11086,3.98,2.936,1
2.305904182,3.39771,41.63,3148,9696,4.033,2.492,1
1.814127693,3.2031,597.53,4117,5048,2.607,14.566,1
2.283467238,7.7271,236.7,2058,6734,4.057,1.804,1
0.692807208,1.40344,64.01,2055,5780,4.438,1,1
1.129848386,2.0627,78.26,3298,5004,3.157,5.604,1
0.730961373,2.492,0.89,2494,6362,4.248,1.279,1
2.873661405,2.04037,137.49,1829,5692,3.829,2.287,1
2.243015793,4.3308,91.85,1812,6181,4.084,1.444,1
3.45424162,4.6884,47.01,1617,6550,4.178,1.509,1
1.237147433,7.09102,75.5,1793,6131,4.457,1.024,1
1.286206575,1.172,1.3,1647,5650,4.391,0.926,1
2.151384228,3.33731,66.57,1726,6184,4.19,1.257,1
2.404387089,7.33428,80.98,1670,6466,4.278,1.21,1
3.86963822,2.055,2.56,1993,7901,4.131,1.939,1
4.206063883,10.0049,281.66,2547,8212,3.736,3.185,1
0.905678069,2.1961,258,3992,5037,3.002,7.553,1
4.592401123,4.95371,52.7,1681,7209,4.137,1.727,1
1.519172042,5.4624,130.36,2515,7426,4.116,1.698,1
0.779600891,3.948,1.04,2095,5899,4.37,1.07,1
0.70914232,1.936,7.27,1685,5350,4.578,0.693,1
0.978365286,1.346,1,2656,7179,4.221,1.527,1
0.82902052,4.8972,90.37,2487,6643,4.273,1.325,1
1.108097491,3.4227,121.68,2209,5299,3.865,1.769,1
1.68041004,5.5719,100.19,2165,6817,4.165,1.576,1
1.123261102,4.2981,154.25,3214,7945,4.023,2.17,1
0.876831823,2.713,1.58,1899,5808,4.434,0.951,1
0.953734411,1.7765,32.13,2701,7346,4.251,1.494,1
2.07387057,6.7032,283.36,3149,7803,3.688,3.373,1
2.151211488,2.1921,17.7,3564,4955,2.661,10.899,1
1.457270345,6.4639,100.64,2131,6643,4.224,1.439,1
0.933756307,4.539,1.63,3136,7286,3.998,2.056,1
4.4625792,14.4378,54.24,1796,4847,3.277,3.619,1
2.377955124,2.42638,99.65,2965,9565,4.088,2.286,1
2.053866648,4.8007,169.85,2526,5051,3.22,4.089,1
1.27623492,2.191,1.6,1832,6297,4.448,1.031,1
4.61876778,6.01243,32.32,1565,6195,3.937,1.781,1
1.853209008,1.78189,130.35,2099,6384,4.026,1.716,1
2.32603513,9.61,7.18,2059,7061,4.146,1.735,1
0.764598174,1.074,0.32,2041,6174,4.456,0.814,1
2.4357503,17.75,17.56,2102,7239,4.129,1.781,1
0.673141323,0.921,1.29,1834,5461,4.552,0.858,1
1.404691943,6.2861,185.26,2162,5896,3.963,1.638,1
1.109841884,8.174,61.66,1910,5947,4.336,1.087,1
0.648868304,2.82757,78.34,2885,6531,4.12,1.524,1
0.958116757,2.45623,54.96,2273,6032,4.147,1.365,1
1.891268393,8.2929,396.64,5045,11287,3.642,4.662,1
1.429439359,2.418,49.93,2096,6490,4.205,1.389,1
2.821328629,5.025,39.25,1747,6765,4.224,1.471,1
1.97362159,6.584,2.86,1654,5870,4.235,1.248,1
0.947553302,1.122,0.68,1696,5627,4.516,0.817,1
2.163569709,7.6174,86.17,1997,6425,4.04,1.718,1
0.730941792,1.885,0.62,2189,6028,4.371,1.078,1
2.115511035,7.4284,188.3,2702,7563,3.883,2.638,1
1.015006003,7.57,2.38,1979,5910,4.318,1.124,1
2.97606111,5.607,4.89,2616,5321,3.158,6.669,1
0.555973115,1.2342,1.79,3053,5445,3.776,2.117,1
3.495457399,6.777,5002.07,2580,8130,3.791,2.863,1
1.8913126,5.943,1.06,1715,6432,4.381,1.147,1
2.881100586,9.7178,288.56,2946,8104,3.675,3.369,1
0.806244727,5.409,2.5,2043,6122,4.471,0.996,1
0.513486527,2.793,0.85,2069,5495,4.495,0.882,1
0.892061771,2.3027,46.55,1724,5561,4.512,0.855,1
3.471399167,5.07136,91.78,1557,6026,4.101,1.689,1
0.823015402,3.5547,19.03,1595,5088,4.532,0.813,1
1.35340473,12.632,345.44,4239,4867,2.637,12.866,1
2.9590637,28.81,0.65,1564,6192,4.195,1.322,1
1.831833524,7.505,694.24,2078,5269,3.667,2.183,1
0.738527471,1.2216,40.81,3057,5759,3.732,2.447,1
0.896271031,2.223,46.58,1732,5551,4.493,0.861,1
0.62240698,1.186,1.63,2663,6661,4.341,1.29,1
2.666961332,2.3584,46.65,1523,6602,4.426,1.061,1
1.528723,6.56,1.51,2550,6438,3.829,2.266,1
1.540395925,2.7898,50.04,1575,5780,4.438,1,1
1.540395458,2.8895,116.12,2850,7394,3.897,2.283,1
2.34413464,0.1827,4,1798,5313,3.835,2.095,1
0.9184939,2.44,0.97,2207,6444,4.376,1.2,1
1.341078732,3.84266,40.98,1953,6338,4.321,1.196,1
0.634131057,2.851,0.58,2488,6428,4.345,1.109,1
0.504296702,1.4145,50.41,2694,6140,4.243,1.187,1
2.756535731,1.5931,1495.41,1580,5496,4.02,1.669,1
3.684337796,3.2,209.93,2471,9589,4.152,2.095,1
1.96102766,17.83,9,1900,6613,4.241,1.404,1
1.1611022,4.77,1.45,2163,6661,4.341,1.29,1
1.731805,2.864,1.09,1636,5749,4.296,1.165,1
1.19561654,5.3468,15.42,1987,5583,4.115,1.413,1
0.55053961,1.274,3.27,4978,8092,3.725,3.267,1
2.5346749,21.486,30.76,1606,6395,4.292,1.174,1
0.872361431,3.7831,60.72,2112,6240,4.391,1.048,1
0.629277143,0.7377,3.39,2103,5628,4.388,0.976,1
1.22578063,2.2256,87.37,1700,5780,4.438,1,1
0.751408777,2.2924,46.91,1924,5697,4.46,0.903,1
0.866344198,2.0317,10.65,3711,4943,3.05,5.62,1
2.24294196,2.588,0.75,1653,6082,4.195,1.184,1
0.572079565,2.2628,61.47,1713,5233,4.625,0.639,1
0.82227,4.89,2.84,1922,5709,4.409,0.938,1
1.306220154,5.1497,83.43,2095,6600,4.238,1.124,1
2.234160129,20.67,40.04,1738,6616,4.329,1.298,1
1.124033872,5.6092,99.73,2557,7141,4.202,1.581,1
2.796660798,3.3284,47.97,1661,6331,4.146,1.326,1
0.96129257,4.59097,92.36,2346,6300,4.188,1.404,1
1.246585699,4.61195,61.17,1768,6266,4.487,0.892,1
0.89889187,2.378,0.83,1891,5823,4.445,0.981,1
1.121004547,9.59,17.58,2462,6705,4.145,1.608,1
1.874967306,10.19,3750.17,3443,4771,2.61,7.549,1
